id,x,y
168,68229.75739606097,70171.09698396083
169,65502.22674107924,69053.84740170091
170,65650.96110488474,70880.32438691193
171,64957.98457349464,68173.1243808209
172,66211.69633109681,69594.1912102336
173,64304.19444157556,70060.66826788848
174,76723.29319780506,65071.3544420423
175,78715.08479181677,61573.18920521811
176,80493.2390504051,66056.91827589134
177,101510.5095702447,58233.96740851458
178,84453.96226080135,66085.50650959136
179,86304.23295858875,66234.6415399122
180,87204.4152441211,72901.93563486263
181,95141.33174268529,56644.357113257516
182,64175.71307092346,70669.14551447704
183,64224.02687640302,69773.612493488
184,63562.39226515591,66268.93685829174
185,63587.753987737,68614.65188311599
186,60814.2992647253,67431.99019545969
187,67462.24397755228,69634.5674390397
188,67061.75828373432,69767.03161010658
189,65538.98525797948,69824.07224601926
190,62089.65718751773,67105.57739800029
191,61025.26470640302,69143.90332147619
192,65386.50066547282,70779.56466321927
193,61148.23939387873,67755.81988704018
194,64629.40259330906,67259.47239629226
195,68976.29092642851,69097.42875630083
196,66878.09892858937,71041.76155339368
197,61470.916681544855,67009.63350749202
198,63719.27996063046,75374.77144814609
199,62787.31848374568,67151.0877657528
200,69219.92842824757,67839.36722834501
201,60993.85480222292,67920.91459231451
202,66069.60960468091,70402.31984011782
203,66298.36613682657,69341.65749170538
204,65299.373992430046,70725.59555438906
205,61502.89433065057,68518.67712353822
206,42401.78803803772,60724.04217165895
207,53292.515640515834,54763.47643846413
208,49851.76630195603,34959.84761489835
209,35820.894591910765,44013.009602562524
210,50993.22234420851,56478.074305482674
211,71269.1605259683,41425.10951014608
212,20501.703233828768,64918.59038758231
213,55835.713407907635,57320.42263470823
214,41244.39902607724,42853.3410002538
215,60190.226803844795,41381.0529275476
216,26829.255558457226,63147.377931680065
217,60972.65091934614,51067.13899452239
218,54440.53101207502,52274.75837865891
219,33566.580853642896,58581.0502838213
220,50156.61883955076,57210.11654050602
221,36007.598883677274,43278.59887728095
222,36089.19003933109,43220.174249302596
223,55317.48404045962,55161.86149627762
224,58768.087263934314,55159.94565406302
225,59285.8883350119,56770.73124063946
226,60348.699752179906,56683.64613320492
227,53830.007129553705,52670.33136140229
228,56296.30155108869,47706.98356660735
229,64682.70482761599,43683.38200935908
230,58769.16023869254,40277.20860668365
231,54436.922982288525,38449.77358408971
232,25084.41196677275,58816.26002329914
233,42021.84913896024,61291.69158894941
234,24051.863707482815,57963.57871826971
235,54241.362005798146,53837.150705605745
236,53147.04525587149,52628.433860518504
237,55287.3534147609,56129.539674719796
238,37252.71713882312,42153.94945708383
239,57141.8581249062,52898.87825773563
240,36757.10060949996,44022.374757634476
241,48419.03004050255,55025.89942039596
242,47428.613179374486,54294.69867259124
243,43917.528866205364,39553.21846340643
244,44425.99121488258,42165.312608136795
